ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
172.0,harvest,mon_L3_01,272.9,15.94,15.94
174.0,harvest,mon_L3_00,262.9,15.81,0.10
174.0,harvest,mon_L3_01,268.6,15.96,15.96
176.0,harvest,mon_L3_00,239.5,15.82,0.10
176.0,harvest,mon_L3_01,254.9,15.98,15.98
178.0,harvest,mon_L3_00,255.1,15.81,0.10
178.0,harvest,mon_L3_01,261.4,16.00,15.99
180.0,harvest,mon_L3_00,243.4,15.78,0.10
180.0,harvest,mon_L3_01,252.7,15.99,15.99
182.0,harvest,mon_L3_00,261.3,15.79,0.10
182.0,harvest,mon_L3_01,269.1,15.98,15.98
184.0,harvest,mon_L3_00,261.7,15.78,0.10
184.0,harvest,mon_L3_01,269.2,15.97,15.97
186.0,harvest,mon_L3_00,244.9,15.77,0.10
186.0,harvest,mon_L3_01,269.9,15.98,15.97
188.0,harvest,mon_L3_00,240.8,15.79,0.10
188.0,harvest,mon_L3_01,268.7,16.03,16.02
190.0,harvest,mon_L3_00,247.7,15.82,0.10
190.0,harvest,mon_L3_01,270.8,16.00,16.00
192.0,harvest,mon_L3_00,275.9,15.82,0.10
192.0,harvest,mon_L3_01,272.7,15.99,15.99
194.0,harvest,mon_L3_00,270.5,15.80,0.10
194.0,harvest,mon_L3_01,271.5,15.97,15.97
196.0,harvest,mon_L3_00,268.2,15.81,0.10
196.0,harvest,mon_L3_01,275.7,15.98,15.98
198.0,harvest,mon_L3_00,272.7,15.83,0.10
198.0,harvest,mon_L3_01,274.6,15.98,15.98
200.0,harvest,mon_L3_00,272.2,15.85,0.10
200.0,harvest,mon_L3_01,255.5,16.01,16.01
202.1,harvest,mon_L3_00,266.4,15.82,0.10
202.1,harvest,mon_L3_01,277.1,15.97,15.97
204.1,harvest,mon_L3_00,266.6,15.83,0.10
204.1,harvest,mon_L3_01,256.1,15.98,15.98
206.1,harvest,mon_L3_00,277.9,15.89,0.10
206.1,harvest,mon_L3_01,273.5,16.12,16.11
208.1,harvest,mon_L3_00,266.4,15.89,0.10
208.1,harvest,mon_L3_01,274.2,16.15,16.15
210.1,harvest,mon_L3_00,268.5,15.87,0.10
210.1,harvest,mon_L3_01,262.9,16.15,16.15
212.1,harvest,mon_L3_00,263.9,15.90,0.10
212.1,harvest,mon_L3_01,270.9,16.15,16.15
214.1,harvest,mon_L3_00,270.1,15.89,0.10
214.1,harvest,mon_L3_01,271.6,16.15,16.15
216.1,harvest,mon_L3_00,274.8,15.95,0.10
216.1,harvest,mon_L3_01,270.6,16.16,16.16
218.1,harvest,mon_L3_00,262.1,15.73,0.10
218.1,harvest,mon_L3_01,270.2,15.91,15.91
220.1,harvest,mon_L3_00,268.7,15.89,0.10
220.1,harvest,mon_L3_01,265.4,16.05,16.04
222.1,harvest,mon_L3_00,269.3,15.85,0.10
222.1,harvest,mon_L3_01,267.5,16.02,16.02
224.1,harvest,mon_L3_00,265.3,15.80,0.10
224.1,harvest,mon_L3_01,270.2,16.01,16.01
226.1,harvest,mon_L3_00,272.0,15.77,0.10
226.1,harvest,mon_L3_01,267.8,15.92,15.92
228.1,harvest,mon_L3_00,274.8,15.76,0.10
228.1,harvest,mon_L3_01,273.9,15.92,15.92
230.1,harvest,mon_L3_00,260.7,15.77,0.10
230.1,harvest,mon_L3_01,270.6,15.89,15.89
232.1,harvest,mon_L3_00,273.3,15.76,0.10
232.1,harvest,mon_L3_01,267.3,15.89,15.89
234.1,harvest,mon_L3_00,271.2,15.72,0.10
234.1,harvest,mon_L3_01,263.0,15.94,15.94
236.1,harvest,mon_L3_00,275.7,15.73,0.10
236.1,harvest,mon_L3_01,269.8,15.88,15.88
238.1,harvest,mon_L3_00,272.5,15.74,0.10
238.1,harvest,mon_L3_01,270.6,15.88,15.87
240.1,harvest,mon_L3_00,266.7,15.78,0.10
240.1,harvest,mon_L3_01,272.9,15.87,15.87
242.1,harvest,mon_L3_00,267.7,15.79,0.10
242.1,harvest,mon_L3_01,268.2,15.89,15.89
244.1,harvest,mon_L3_00,272.0,15.71,0.10
244.1,harvest,mon_L3_01,269.8,15.88,15.88
246.1,harvest,mon_L3_00,272.2,15.79,0.10
246.1,harvest,mon_L3_01,262.5,15.90,15.90
248.1,harvest,mon_L3_00,273.2,15.77,0.11
248.1,harvest,mon_L3_01,268.9,15.93,15.93
250.1,harvest,mon_L3_00,257.1,15.82,0.10
250.1,harvest,mon_L3_01,270.1,15.91,15.91
252.1,harvest,mon_L3_00,224.8,15.79,0.10
252.1,harvest,mon_L3_01,249.6,15.91,15.90
254.1,harvest,mon_L3_00,259.1,15.78,0.10
254.1,harvest,mon_L3_01,265.2,15.92,15.91
256.1,harvest,mon_L3_00,256.6,15.79,0.10
256.1,harvest,mon_L3_01,263.4,15.93,15.93
258.1,harvest,mon_L3_00,244.8,15.79,0.10
258.1,harvest,mon_L3_01,271.1,15.88,15.88
260.1,harvest,mon_L3_00,243.3,15.84,0.10
260.1,harvest,mon_L3_01,272.2,15.92,15.92
262.1,harvest,mon_L3_00,241.5,15.78,0.10
262.1,harvest,mon_L3_01,272.0,15.89,15.89
264.1,harvest,mon_L3_00,250.3,15.77,0.10
264.1,harvest,mon_L3_01,269.8,15.90,15.90
266.1,harvest,mon_L3_00,256.3,15.80,0.10
266.1,harvest,mon_L3_01,271.3,15.90,15.90
268.1,harvest,mon_L3_00,252.8,15.81,0.10
268.1,harvest,mon_L3_01,272.7,15.92,15.92
270.1,harvest,mon_L3_00,266.4,15.81,0.10
270.1,harvest,mon_L3_01,270.7,15.92,15.92
272.1,harvest,mon_L3_00,270.9,15.79,0.10
272.1,harvest,mon_L3_01,268.1,15.87,15.87
274.1,harvest,mon_L3_00,269.3,15.78,0.10
274.1,harvest,mon_L3_01,272.0,15.89,15.89
276.1,harvest,mon_L3_00,266.2,15.78,0.10
276.1,harvest,mon_L3_01,269.8,15.92,15.92
278.1,harvest,mon_L3_00,276.9,15.75,0.10
278.1,harvest,mon_L3_01,273.8,15.94,15.93
280.1,harvest,mon_L3_00,262.5,15.78,0.10
280.1,harvest,mon_L3_01,263.6,15.93,15.93
282.1,harvest,mon_L3_00,277.5,15.76,0.10
282.1,harvest,mon_L3_01,270.0,15.93,15.93
284.1,harvest,mon_L3_00,260.9,15.76,0.10
284.1,harvest,mon_L3_01,267.7,15.95,15.94
286.1,harvest,mon_L3_00,263.4,15.76,0.10
286.1,harvest,mon_L3_01,267.2,15.97,15.97
288.1,harvest,mon_L3_00,274.3,15.76,0.10
288.1,harvest,mon_L3_01,265.9,15.97,15.97
290.1,harvest,mon_L3_00,271.9,15.78,0.10
290.1,harvest,mon_L3_01,267.4,15.96,15.96
292.1,harvest,mon_L3_00,274.2,15.77,0.11
292.1,harvest,mon_L3_01,268.9,15.97,15.97
294.1,harvest,mon_L3_00,265.1,15.75,0.10
294.1,harvest,mon_L3_01,269.4,15.93,15.93
296.1,harvest,mon_L3_00,272.0,15.79,0.10
296.1,harvest,mon_L3_01,267.7,15.99,15.98
298.1,harvest,mon_L3_00,274.6,15.76,0.10
298.1,harvest,mon_L3_01,271.1,15.95,15.95
300.1,harvest,mon_L3_00,274.8,15.78,0.10
300.1,harvest,mon_L3_01,261.0,15.98,15.98
302.1,harvest,mon_L3_00,262.4,15.74,0.10
302.1,harvest,mon_L3_01,267.3,15.99,15.99
304.1,harvest,mon_L3_00,277.4,15.76,0.10
304.1,harvest,mon_L3_01,264.7,16.00,16.00
306.1,harvest,mon_L3_00,268.5,15.75,0.10
306.1,harvest,mon_L3_01,270.1,16.00,16.00
308.1,harvest,mon_L3_00,259.7,15.78,0.10
308.1,harvest,mon_L3_01,265.5,15.97,15.96
310.1,harvest,mon_L3_00,275.3,15.81,0.10
310.1,harvest,mon_L3_01,269.5,15.95,15.95
312.1,harvest,mon_L3_00,266.1,15.80,0.10
312.1,harvest,mon_L3_01,267.3,16.02,16.01
314.1,harvest,mon_L3_00,274.2,15.82,0.10
314.1,harvest,mon_L3_01,260.9,16.03,16.03
316.1,harvest,mon_L3_00,270.1,15.81,0.10
316.1,harvest,mon_L3_01,267.8,15.97,15.97
318.1,harvest,mon_L3_00,271.8,15.78,0.10
318.1,harvest,mon_L3_01,263.6,15.98,15.97
320.1,harvest,mon_L3_00,261.0,15.82,0.10
320.1,harvest,mon_L3_01,273.2,15.99,15.99
322.1,harvest,mon_L3_00,274.0,15.75,0.10
322.1,harvest,mon_L3_01,264.8,15.99,15.99
324.1,harvest,mon_L3_00,273.2,15.74,0.10
324.1,harvest,mon_L3_01,269.9,15.98,15.98
326.1,harvest,mon_L3_00,273.3,15.76,0.10
326.1,harvest,mon_L3_01,275.2,15.99,15.99
328.1,harvest,mon_L3_00,271.6,15.81,0.10
328.1,harvest,mon_L3_01,273.9,16.02,16.01
