ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
178.0,harvest,mon_L3_01,280.3,84.73,84.73
180.0,harvest,mon_L3_00,279.6,67.17,1.51
180.0,harvest,mon_L3_01,278.8,84.82,84.82
182.0,harvest,mon_L3_00,274.9,67.25,1.57
182.0,harvest,mon_L3_01,283.1,84.70,84.70
184.0,harvest,mon_L3_00,277.4,67.09,1.54
184.0,harvest,mon_L3_01,280.9,84.67,84.67
186.0,harvest,mon_L3_00,271.8,67.17,1.52
186.0,harvest,mon_L3_01,277.0,84.31,84.31
188.0,harvest,mon_L3_00,271.6,66.99,1.53
188.0,harvest,mon_L3_01,281.0,84.33,84.33
190.0,harvest,mon_L3_00,268.6,67.10,1.56
190.0,harvest,mon_L3_01,278.6,84.15,84.15
192.0,harvest,mon_L3_00,272.8,67.05,1.55
192.0,harvest,mon_L3_01,278.1,84.27,84.27
194.0,harvest,mon_L3_00,271.1,67.10,1.57
194.0,harvest,mon_L3_01,279.1,84.41,84.41
196.0,harvest,mon_L3_00,269.3,66.99,1.54
196.0,harvest,mon_L3_01,276.8,84.32,84.32
198.0,harvest,mon_L3_00,271.8,67.20,1.54
198.0,harvest,mon_L3_01,277.9,84.20,84.20
200.0,harvest,mon_L3_00,271.2,67.11,1.54
200.0,harvest,mon_L3_01,277.7,84.13,84.13
202.0,harvest,mon_L3_00,273.8,67.10,1.54
202.0,harvest,mon_L3_01,277.7,84.19,84.19
204.0,harvest,mon_L3_00,268.6,67.33,1.51
204.0,harvest,mon_L3_01,279.1,84.20,84.20
206.0,harvest,mon_L3_00,276.3,67.31,1.54
206.0,harvest,mon_L3_01,277.7,84.64,84.64
208.0,harvest,mon_L3_00,278.3,67.42,1.53
208.0,harvest,mon_L3_01,277.6,85.04,85.04
210.0,harvest,mon_L3_00,280.2,67.24,1.53
210.0,harvest,mon_L3_01,278.9,85.03,85.03
212.1,harvest,mon_L3_00,281.0,67.25,1.52
212.1,harvest,mon_L3_01,280.7,84.69,84.69
214.1,harvest,mon_L3_00,278.3,67.21,1.49
214.1,harvest,mon_L3_01,279.6,84.90,84.90
216.1,harvest,mon_L3_00,276.3,67.44,1.48
216.1,harvest,mon_L3_01,279.5,85.04,85.04
218.1,harvest,mon_L3_00,275.4,67.25,1.52
218.1,harvest,mon_L3_01,281.0,85.14,85.14
220.1,harvest,mon_L3_00,276.8,67.38,1.51
220.1,harvest,mon_L3_01,280.9,85.15,85.15
222.1,harvest,mon_L3_00,279.4,67.43,1.53
222.1,harvest,mon_L3_01,280.1,85.02,85.02
224.1,harvest,mon_L3_00,278.6,67.17,1.57
224.1,harvest,mon_L3_01,280.8,85.09,85.09
226.1,harvest,mon_L3_00,280.8,67.26,1.53
226.1,harvest,mon_L3_01,279.3,85.18,85.18
228.1,harvest,mon_L3_00,276.8,67.26,1.53
228.1,harvest,mon_L3_01,279.6,85.09,85.09
230.1,harvest,mon_L3_00,274.8,67.31,1.50
230.1,harvest,mon_L3_01,279.6,85.14,85.14
232.1,harvest,mon_L3_00,262.0,67.26,1.50
232.1,harvest,mon_L3_01,274.8,85.18,85.18
234.1,harvest,mon_L3_00,274.8,67.35,1.51
234.1,harvest,mon_L3_01,279.0,85.09,85.09
236.1,harvest,mon_L3_00,268.7,67.52,1.51
236.1,harvest,mon_L3_01,276.4,84.78,84.78
238.1,harvest,mon_L3_00,277.4,67.22,1.50
238.1,harvest,mon_L3_01,274.6,84.67,84.66
240.1,harvest,mon_L3_00,278.9,67.53,1.54
240.1,harvest,mon_L3_01,273.3,85.40,85.40
242.1,harvest,mon_L3_00,274.0,67.30,1.51
242.1,harvest,mon_L3_01,276.3,85.33,85.33
244.1,harvest,mon_L3_00,275.3,67.39,1.54
244.1,harvest,mon_L3_01,276.4,85.21,85.21
246.1,harvest,mon_L3_00,260.7,67.28,1.48
246.1,harvest,mon_L3_01,275.6,85.22,85.22
248.1,harvest,mon_L3_00,274.6,67.33,1.55
248.1,harvest,mon_L3_01,278.8,84.67,84.67
250.1,harvest,mon_L3_00,276.8,67.45,1.57
250.1,harvest,mon_L3_01,279.1,84.53,84.53
252.1,harvest,mon_L3_00,272.3,67.09,1.52
252.1,harvest,mon_L3_01,280.1,84.40,84.40
254.1,harvest,mon_L3_00,279.5,67.19,1.53
254.1,harvest,mon_L3_01,279.8,84.65,84.65
256.1,harvest,mon_L3_00,277.4,67.15,1.53
256.1,harvest,mon_L3_01,280.3,84.57,84.57
258.1,harvest,mon_L3_00,278.3,67.22,1.50
258.1,harvest,mon_L3_01,277.5,84.62,84.62
260.1,harvest,mon_L3_00,281.7,67.19,1.55
260.1,harvest,mon_L3_01,283.1,84.52,84.52
262.1,harvest,mon_L3_00,277.4,67.16,1.52
262.1,harvest,mon_L3_01,280.3,84.67,84.67
264.1,harvest,mon_L3_00,278.4,67.13,1.57
264.1,harvest,mon_L3_01,280.9,84.66,84.66
266.1,harvest,mon_L3_00,271.5,66.99,1.52
266.1,harvest,mon_L3_01,284.2,83.92,83.92
268.1,harvest,mon_L3_00,271.1,66.96,1.55
268.1,harvest,mon_L3_01,280.4,84.34,84.33
270.1,harvest,mon_L3_00,266.0,67.20,1.56
270.1,harvest,mon_L3_01,283.0,84.17,84.17
272.1,harvest,mon_L3_00,272.5,66.79,1.56
272.1,harvest,mon_L3_01,280.4,84.11,84.12
274.1,harvest,mon_L3_00,275.0,67.30,1.54
274.1,harvest,mon_L3_01,278.1,84.17,84.17
276.1,harvest,mon_L3_00,271.4,67.09,1.53
276.1,harvest,mon_L3_01,281.1,84.15,84.15
278.1,harvest,mon_L3_00,273.9,67.10,1.52
278.1,harvest,mon_L3_01,283.6,84.29,84.29
280.1,harvest,mon_L3_00,276.1,67.22,1.50
280.1,harvest,mon_L3_01,284.6,84.31,84.31
282.1,harvest,mon_L3_00,271.1,67.05,1.53
282.1,harvest,mon_L3_01,280.8,84.00,84.00
284.1,harvest,mon_L3_00,278.6,67.15,1.53
284.1,harvest,mon_L3_01,285.1,84.59,84.59
286.1,harvest,mon_L3_00,279.5,67.14,1.49
286.1,harvest,mon_L3_01,283.9,84.37,84.37
288.1,harvest,mon_L3_00,279.1,67.22,1.50
288.1,harvest,mon_L3_01,282.7,84.71,84.71
290.1,harvest,mon_L3_00,279.1,67.17,1.54
290.1,harvest,mon_L3_01,277.5,84.65,84.65
292.1,harvest,mon_L3_00,275.7,67.11,1.57
292.1,harvest,mon_L3_01,283.7,84.63,84.63
294.1,harvest,mon_L3_00,279.1,67.21,1.51
294.1,harvest,mon_L3_01,276.7,84.28,84.28
296.1,harvest,mon_L3_00,273.4,67.20,1.59
296.1,harvest,mon_L3_01,279.1,84.48,84.48
298.1,harvest,mon_L3_00,279.4,67.25,1.51
298.1,harvest,mon_L3_01,275.3,84.69,84.69
300.1,harvest,mon_L3_00,269.4,67.02,1.48
300.1,harvest,mon_L3_01,283.5,83.78,83.78
302.1,harvest,mon_L3_00,267.5,67.34,1.51
302.1,harvest,mon_L3_01,280.9,83.74,83.74
304.1,harvest,mon_L3_00,275.7,67.36,1.46
304.1,harvest,mon_L3_01,281.4,84.40,84.40
306.1,harvest,mon_L3_00,278.9,67.25,1.47
