ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
168.1,harvest,mon_L3_01,246.4,16.62,16.62
170.1,harvest,mon_L3_00,250.8,16.24,1.01
170.1,harvest,mon_L3_01,249.3,16.60,16.59
172.1,harvest,mon_L3_00,258.9,16.21,0.99
172.1,harvest,mon_L3_01,255.5,16.67,16.67
174.1,harvest,mon_L3_00,248.0,16.28,1.00
174.1,harvest,mon_L3_01,240.1,16.64,16.64
176.1,harvest,mon_L3_00,227.3,16.23,0.98
176.1,harvest,mon_L3_01,256.1,16.65,16.65
178.1,harvest,mon_L3_00,230.3,16.24,1.02
178.1,harvest,mon_L3_01,248.8,16.67,16.67
180.1,harvest,mon_L3_00,234.1,16.28,1.03
180.1,harvest,mon_L3_01,255.7,16.67,16.67
182.1,harvest,mon_L3_00,219.8,16.21,1.02
182.1,harvest,mon_L3_01,244.1,16.66,16.66
184.1,harvest,mon_L3_00,235.0,16.28,1.01
184.1,harvest,mon_L3_01,250.7,16.65,16.66
186.1,harvest,mon_L3_00,234.7,16.23,0.99
186.1,harvest,mon_L3_01,245.0,16.75,16.75
188.1,harvest,mon_L3_00,203.1,16.24,0.99
188.1,harvest,mon_L3_01,238.8,16.62,16.62
190.1,harvest,mon_L3_00,233.6,16.21,0.96
190.1,harvest,mon_L3_01,244.2,16.64,16.64
192.1,harvest,mon_L3_00,251.1,16.22,0.97
192.1,harvest,mon_L3_01,242.7,16.69,16.69
194.1,harvest,mon_L3_00,255.5,16.27,1.00
194.1,harvest,mon_L3_01,243.4,16.64,16.64
196.1,harvest,mon_L3_00,253.1,16.18,0.99
196.1,harvest,mon_L3_01,249.6,16.65,16.65
198.1,harvest,mon_L3_00,248.9,16.21,1.01
198.1,harvest,mon_L3_01,246.6,16.66,16.66
200.1,harvest,mon_L3_00,220.1,16.23,0.98
200.1,harvest,mon_L3_01,253.9,16.77,16.77
202.1,harvest,mon_L3_00,254.4,16.28,1.01
202.1,harvest,mon_L3_01,251.0,16.73,16.73
204.1,harvest,mon_L3_00,258.6,16.15,1.01
204.1,harvest,mon_L3_01,252.3,16.64,16.64
206.1,harvest,mon_L3_00,263.2,16.14,1.01
206.1,harvest,mon_L3_01,247.6,16.72,16.72
208.1,harvest,mon_L3_00,262.0,16.22,1.00
208.1,harvest,mon_L3_01,231.9,16.67,16.67
210.1,harvest,mon_L3_00,251.7,16.23,0.98
210.1,harvest,mon_L3_01,250.2,16.74,16.74
212.1,harvest,mon_L3_00,255.2,16.27,1.01
212.1,harvest,mon_L3_01,259.8,16.72,16.71
214.1,harvest,mon_L3_00,253.4,16.34,1.00
214.1,harvest,mon_L3_01,251.5,16.78,16.78
216.1,harvest,mon_L3_00,250.4,16.33,1.00
216.1,harvest,mon_L3_01,248.7,16.69,16.69
218.1,harvest,mon_L3_00,249.7,16.40,0.99
218.1,harvest,mon_L3_01,240.7,16.76,16.76
220.1,harvest,mon_L3_00,255.7,16.37,1.01
220.1,harvest,mon_L3_01,246.4,16.73,16.73
222.1,harvest,mon_L3_00,238.0,16.31,0.99
222.1,harvest,mon_L3_01,270.4,16.55,16.55
224.1,harvest,mon_L3_00,223.7,16.29,1.02
224.1,harvest,mon_L3_01,250.2,16.61,16.61
226.1,harvest,mon_L3_00,223.8,16.30,1.01
226.1,harvest,mon_L3_01,250.7,16.66,16.66
228.1,harvest,mon_L3_00,199.3,16.34,1.01
228.1,harvest,mon_L3_01,240.9,16.69,16.69
230.1,harvest,mon_L3_00,225.9,16.35,0.99
230.1,harvest,mon_L3_01,246.6,16.59,16.59
232.1,harvest,mon_L3_00,232.0,16.28,0.98
232.1,harvest,mon_L3_01,246.1,16.63,16.63
234.1,harvest,mon_L3_00,233.2,16.22,0.98
234.1,harvest,mon_L3_01,247.7,16.73,16.73
236.1,harvest,mon_L3_00,237.9,16.22,1.01
236.1,harvest,mon_L3_01,247.3,16.71,16.71
238.1,harvest,mon_L3_00,249.3,16.27,1.01
238.1,harvest,mon_L3_01,242.9,16.69,16.69
240.1,harvest,mon_L3_00,248.9,16.23,0.96
240.1,harvest,mon_L3_01,247.1,16.65,16.65
242.1,harvest,mon_L3_00,246.3,16.27,0.98
242.1,harvest,mon_L3_01,242.1,16.69,16.69
244.1,harvest,mon_L3_00,252.0,16.23,0.98
244.1,harvest,mon_L3_01,246.8,16.73,16.73
246.1,harvest,mon_L3_00,246.2,16.25,0.98
246.1,harvest,mon_L3_01,245.4,16.77,16.77
248.1,harvest,mon_L3_00,255.7,16.16,0.99
248.1,harvest,mon_L3_01,241.8,16.76,16.76
250.1,harvest,mon_L3_00,236.1,16.10,1.00
250.1,harvest,mon_L3_01,246.1,16.67,16.67
252.1,harvest,mon_L3_00,227.3,16.22,1.02
252.1,harvest,mon_L3_01,240.1,16.69,16.69
254.1,harvest,mon_L3_00,216.9,16.31,1.02
254.1,harvest,mon_L3_01,246.0,16.67,16.67
256.1,harvest,mon_L3_00,232.3,16.24,0.97
256.1,harvest,mon_L3_01,247.9,16.69,16.69
258.1,harvest,mon_L3_00,214.1,16.31,1.00
258.1,harvest,mon_L3_01,245.2,16.66,16.66
260.1,harvest,mon_L3_00,233.1,16.28,1.00
260.1,harvest,mon_L3_01,240.6,16.68,16.68
262.1,harvest,mon_L3_00,228.2,16.26,1.01
262.1,harvest,mon_L3_01,239.4,16.72,16.72
264.1,harvest,mon_L3_00,233.7,16.19,1.01
264.1,harvest,mon_L3_01,244.3,16.71,16.71
266.1,harvest,mon_L3_00,237.2,16.21,1.02
266.1,harvest,mon_L3_01,247.0,16.61,16.60
268.1,harvest,mon_L3_00,241.2,16.23,1.01
268.1,harvest,mon_L3_01,237.5,16.63,16.63
270.1,harvest,mon_L3_00,264.7,16.17,0.99
270.1,harvest,mon_L3_01,243.3,16.61,16.61
272.1,harvest,mon_L3_00,248.7,16.27,0.98
272.1,harvest,mon_L3_01,240.4,16.74,16.74
274.1,harvest,mon_L3_00,256.3,16.11,0.99
274.1,harvest,mon_L3_01,245.2,16.74,16.74
276.1,harvest,mon_L3_00,242.6,16.17,1.01
276.1,harvest,mon_L3_01,246.4,16.65,16.65
278.1,harvest,mon_L3_00,233.1,16.20,0.99
278.1,harvest,mon_L3_01,201.9,16.70,16.70
280.1,harvest,mon_L3_00,239.3,16.29,1.00
280.1,harvest,mon_L3_01,242.5,16.72,16.72
282.1,harvest,mon_L3_00,250.3,16.27,1.01
282.1,harvest,mon_L3_01,240.9,16.69,16.69
284.1,harvest,mon_L3_00,236.4,16.25,0.98
284.1,harvest,mon_L3_01,243.2,16.72,16.72
286.1,harvest,mon_L3_00,256.2,16.18,1.00
286.1,harvest,mon_L3_01,243.9,16.73,16.73
288.1,harvest,mon_L3_00,242.3,16.24,0.99
288.1,harvest,mon_L3_01,239.9,16.69,16.69
290.1,harvest,mon_L3_00,235.2,16.25,0.99
290.1,harvest,mon_L3_01,243.0,16.76,16.76
292.1,harvest,mon_L3_00,249.8,16.22,1.02
292.1,harvest,mon_L3_01,224.5,16.73,16.73
294.1,harvest,mon_L3_00,258.0,16.18,1.01
294.1,harvest,mon_L3_01,240.7,16.76,16.76
296.1,harvest,mon_L3_00,260.0,16.23,1.00
296.1,harvest,mon_L3_01,241.4,16.75,16.75
298.1,harvest,mon_L3_00,226.8,16.28,0.99
298.1,harvest,mon_L3_01,236.7,16.83,16.83
300.1,harvest,mon_L3_00,265.0,16.20,1.01
300.1,harvest,mon_L3_01,221.7,16.75,16.75
302.1,harvest,mon_L3_00,262.6,16.19,0.99
302.1,harvest,mon_L3_01,241.9,16.73,16.73
304.1,harvest,mon_L3_00,248.0,16.24,0.98
304.1,harvest,mon_L3_01,228.0,16.72,16.72
306.1,harvest,mon_L3_00,263.2,16.23,1.02
306.1,harvest,mon_L3_01,244.6,16.71,16.71
308.1,harvest,mon_L3_00,259.8,16.22,1.02
308.1,harvest,mon_L3_01,229.1,16.74,16.74
310.1,harvest,mon_L3_00,243.9,16.29,1.04
310.1,harvest,mon_L3_01,244.0,16.76,16.76
312.1,harvest,mon_L3_00,247.3,16.26,1.02
312.1,harvest,mon_L3_01,227.9,16.66,16.66
314.1,harvest,mon_L3_00,261.7,16.20,1.01
314.1,harvest,mon_L3_01,251.1,16.71,16.71
316.1,harvest,mon_L3_00,261.1,16.18,0.99
316.1,harvest,mon_L3_01,233.9,16.75,16.75
318.1,harvest,mon_L3_00,248.4,16.26,0.99
318.1,harvest,mon_L3_01,253.1,16.77,16.77
320.1,harvest,mon_L3_00,252.9,16.22,0.98
320.1,harvest,mon_L3_01,231.0,16.77,16.77
322.1,harvest,mon_L3_00,255.6,16.22,0.99
322.1,harvest,mon_L3_01,253.0,16.74,16.74
324.1,harvest,mon_L3_00,243.5,16.23,0.99
324.1,harvest,mon_L3_01,237.2,16.68,16.68
326.1,harvest,mon_L3_00,256.1,16.19,1.00
326.1,harvest,mon_L3_01,249.3,16.76,16.76
328.1,harvest,mon_L3_00,242.2,16.24,1.01
328.1,harvest,mon_L3_01,242.0,16.72,16.72
330.1,harvest,mon_L3_00,251.8,16.20,1.02
330.1,harvest,mon_L3_01,252.1,16.74,16.74
332.1,harvest,mon_L3_00,240.2,16.25,1.02
332.1,harvest,mon_L3_01,241.5,16.79,16.79
334.1,harvest,mon_L3_00,244.5,16.34,0.99
334.1,harvest,mon_L3_01,253.6,16.75,16.75
336.1,harvest,mon_L3_00,223.7,16.25,1.01
336.1,harvest,mon_L3_01,236.6,16.73,16.73
338.1,harvest,mon_L3_00,234.1,16.29,1.01
338.1,harvest,mon_L3_01,256.2,16.74,16.74
340.1,harvest,mon_L3_00,238.9,16.26,1.02
340.1,harvest,mon_L3_01,240.4,16.72,16.72
342.1,harvest,mon_L3_00,231.8,16.26,1.02
342.1,harvest,mon_L3_01,249.0,16.73,16.73
344.1,harvest,mon_L3_00,258.0,16.26,1.01
344.1,harvest,mon_L3_01,242.9,16.73,16.73
346.1,harvest,mon_L3_00,246.6,16.24,1.02
346.1,harvest,mon_L3_01,255.2,16.74,16.74
348.1,harvest,mon_L3_00,243.2,16.29,0.98
348.1,harvest,mon_L3_01,237.1,16.65,16.65
350.1,harvest,mon_L3_00,247.6,16.31,1.00
350.1,harvest,mon_L3_01,252.3,16.67,16.67
352.1,harvest,mon_L3_00,222.0,16.25,0.98
352.1,harvest,mon_L3_01,241.9,16.72,16.72
354.1,harvest,mon_L3_00,240.8,16.30,0.99
354.1,harvest,mon_L3_01,245.9,16.72,16.72
356.1,harvest,mon_L3_00,260.4,16.25,0.99
356.1,harvest,mon_L3_01,244.3,16.66,16.66
358.1,harvest,mon_L3_00,238.7,16.29,0.98
358.1,harvest,mon_L3_01,248.4,16.65,16.65
360.1,harvest,mon_L3_00,246.3,16.24,1.02
360.1,harvest,mon_L3_01,239.2,16.67,16.67
362.1,harvest,mon_L3_00,231.6,16.22,1.00
362.1,harvest,mon_L3_01,237.5,16.62,16.62
364.1,harvest,mon_L3_00,248.4,16.31,1.00
364.1,harvest,mon_L3_01,248.3,16.62,16.62
366.1,harvest,mon_L3_00,257.1,16.19,1.00
366.1,harvest,mon_L3_01,243.2,16.62,16.62
368.1,harvest,mon_L3_00,259.6,16.19,0.97
368.1,harvest,mon_L3_01,245.7,16.64,16.64
370.1,harvest,mon_L3_00,257.5,16.13,0.95
370.1,harvest,mon_L3_01,244.0,16.63,16.63
372.1,harvest,mon_L3_00,235.4,16.15,0.97
372.1,harvest,mon_L3_01,244.5,16.67,16.67
374.1,harvest,mon_L3_00,259.2,16.18,1.01
374.1,harvest,mon_L3_01,248.8,16.66,16.66
376.1,harvest,mon_L3_00,238.8,16.21,1.01
376.1,harvest,mon_L3_01,240.7,16.63,16.63
378.1,harvest,mon_L3_00,241.2,16.23,0.98
378.1,harvest,mon_L3_01,241.2,16.71,16.71
380.1,harvest,mon_L3_00,237.2,16.21,0.96
380.1,harvest,mon_L3_01,246.2,16.64,16.63
382.1,harvest,mon_L3_00,246.4,16.32,0.99
382.1,harvest,mon_L3_01,247.4,16.70,16.70
384.1,harvest,mon_L3_00,206.8,16.19,1.01
384.1,harvest,mon_L3_01,240.4,16.67,16.67
386.1,harvest,mon_L3_00,248.2,16.20,0.99
386.1,harvest,mon_L3_01,244.8,16.65,16.65
388.1,harvest,mon_L3_00,253.8,16.18,0.98
388.1,harvest,mon_L3_01,248.7,16.61,16.61
390.1,harvest,mon_L3_00,233.1,16.21,0.97
390.1,harvest,mon_L3_01,244.6,16.65,16.65
392.1,harvest,mon_L3_00,249.6,16.18,0.99
392.1,harvest,mon_L3_01,242.1,16.66,16.66
394.1,harvest,mon_L3_00,254.2,16.20,0.99
394.1,harvest,mon_L3_01,240.9,16.65,16.65
396.1,harvest,mon_L3_00,244.5,16.22,0.97
396.1,harvest,mon_L3_01,245.2,16.56,16.56
398.1,harvest,mon_L3_00,236.0,16.21,1.00
398.1,harvest,mon_L3_01,249.7,16.58,16.58
400.1,harvest,mon_L3_00,243.8,16.24,0.99
400.1,harvest,mon_L3_01,251.0,16.61,16.61
402.1,harvest,mon_L3_00,236.8,16.27,1.00
402.1,harvest,mon_L3_01,252.3,16.70,16.70
404.1,harvest,mon_L3_00,237.4,16.26,0.99
404.1,harvest,mon_L3_01,252.8,16.68,16.68
406.1,harvest,mon_L3_00,220.1,16.23,0.99
406.1,harvest,mon_L3_01,251.6,16.66,16.66
408.1,harvest,mon_L3_00,244.8,16.24,0.95
408.1,harvest,mon_L3_01,233.0,16.67,16.67
410.1,harvest,mon_L3_00,236.4,16.18,1.01
410.1,harvest,mon_L3_01,233.3,16.69,16.69
412.1,harvest,mon_L3_00,235.7,16.23,1.02
412.1,harvest,mon_L3_01,243.5,16.67,16.67
414.1,harvest,mon_L3_00,228.8,16.17,1.01
414.1,harvest,mon_L3_01,249.5,16.67,16.67
416.1,harvest,mon_L3_00,237.5,16.14,0.99
416.1,harvest,mon_L3_01,241.8,16.64,16.64
418.1,harvest,mon_L3_00,235.2,16.22,0.98
418.1,harvest,mon_L3_01,247.9,16.66,16.66
420.1,harvest,mon_L3_00,242.0,16.22,1.00
420.1,harvest,mon_L3_01,240.7,16.65,16.65
422.1,harvest,mon_L3_00,252.3,16.15,1.04
422.1,harvest,mon_L3_01,249.5,16.67,16.67
424.1,harvest,mon_L3_00,242.6,16.18,1.02
424.1,harvest,mon_L3_01,236.1,16.66,16.66
426.1,harvest,mon_L3_00,244.0,16.21,1.03
426.1,harvest,mon_L3_01,249.5,16.68,16.68
428.1,harvest,mon_L3_00,231.3,16.24,0.99
428.1,harvest,mon_L3_01,245.5,16.72,16.72
430.1,harvest,mon_L3_00,255.8,16.19,0.98
430.1,harvest,mon_L3_01,249.1,16.69,16.69
432.1,harvest,mon_L3_00,257.2,16.18,1.01
432.1,harvest,mon_L3_01,244.7,16.67,16.67
434.1,harvest,mon_L3_00,253.4,16.22,0.99
434.1,harvest,mon_L3_01,244.8,16.64,16.64
436.1,harvest,mon_L3_00,256.2,16.19,1.00
436.1,harvest,mon_L3_01,238.9,16.72,16.72
438.1,harvest,mon_L3_00,258.4,16.20,0.99
438.1,harvest,mon_L3_01,247.6,16.70,16.70
440.1,harvest,mon_L3_00,242.9,16.27,1.02
440.1,harvest,mon_L3_01,241.1,16.73,16.73
442.1,harvest,mon_L3_00,248.1,16.21,1.00
442.1,harvest,mon_L3_01,252.2,16.67,16.67
444.1,harvest,mon_L3_00,258.8,16.26,1.02
444.1,harvest,mon_L3_01,249.4,16.71,16.71
446.1,harvest,mon_L3_00,242.7,16.23,0.99
