ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
322.1,harvest,mon_L3_00,279.7,125.75,0.01
322.1,harvest,mon_L3_01,277.0,94.13,94.13
324.1,harvest,mon_L3_00,277.6,125.11,0.01
324.1,harvest,mon_L3_01,277.7,93.62,93.62
326.1,harvest,mon_L3_00,282.3,125.56,0.02
326.1,harvest,mon_L3_01,275.4,94.09,94.09
328.1,harvest,mon_L3_00,279.7,126.04,0.01
328.1,harvest,mon_L3_01,283.6,94.02,94.02
330.1,harvest,mon_L3_00,278.7,125.98,0.01
330.1,harvest,mon_L3_01,280.0,93.97,93.97
332.1,harvest,mon_L3_00,277.4,126.29,0.01
332.1,harvest,mon_L3_01,283.1,93.79,93.79
334.1,harvest,mon_L3_00,280.7,127.20,0.01
334.1,harvest,mon_L3_01,279.1,93.12,93.12
336.1,harvest,mon_L3_00,276.7,127.02,0.01
336.1,harvest,mon_L3_01,281.2,93.09,93.09
338.1,harvest,mon_L3_00,276.3,126.36,0.01
338.1,harvest,mon_L3_01,278.9,93.62,93.62
340.1,harvest,mon_L3_00,270.6,127.19,0.00
340.1,harvest,mon_L3_01,281.6,92.86,92.86
342.1,harvest,mon_L3_00,273.2,126.89,0.01
342.1,harvest,mon_L3_01,281.1,93.42,93.42
344.1,harvest,mon_L3_00,276.9,126.68,0.01
344.1,harvest,mon_L3_01,274.5,93.63,93.63
346.1,harvest,mon_L3_00,276.7,126.40,0.01
346.1,harvest,mon_L3_01,280.5,93.61,93.61
348.1,harvest,mon_L3_00,274.1,126.62,0.01
348.1,harvest,mon_L3_01,286.8,93.46,93.46
350.1,harvest,mon_L3_00,280.0,126.44,0.01
350.1,harvest,mon_L3_01,282.5,93.82,93.82
352.1,harvest,mon_L3_00,281.4,126.30,0.01
352.1,harvest,mon_L3_01,284.1,93.88,93.88
354.1,harvest,mon_L3_00,279.0,126.46,0.01
354.1,harvest,mon_L3_01,281.7,93.74,93.74
356.1,harvest,mon_L3_00,278.0,125.78,0.01
356.1,harvest,mon_L3_01,282.2,93.96,93.96
358.1,harvest,mon_L3_00,281.2,126.31,0.01
358.1,harvest,mon_L3_01,284.5,93.89,93.89
360.1,harvest,mon_L3_00,280.5,126.06,0.01
360.1,harvest,mon_L3_01,281.7,94.00,94.00
362.1,harvest,mon_L3_00,278.2,126.24,0.01
362.1,harvest,mon_L3_01,272.9,93.92,93.92
364.1,harvest,mon_L3_00,282.0,126.18,0.01
364.1,harvest,mon_L3_01,282.3,93.83,93.83
366.1,harvest,mon_L3_00,279.6,126.12,0.01
366.1,harvest,mon_L3_01,280.4,93.95,93.95
368.1,harvest,mon_L3_00,273.9,127.57,0.01
368.1,harvest,mon_L3_01,278.4,93.02,93.01
370.1,harvest,mon_L3_00,280.3,127.36,0.01
370.1,harvest,mon_L3_01,283.2,93.12,93.12
372.1,harvest,mon_L3_00,274.6,127.16,0.01
372.1,harvest,mon_L3_01,281.4,93.16,93.16
374.1,harvest,mon_L3_00,274.6,127.49,0.01
374.1,harvest,mon_L3_01,280.8,93.06,93.06
376.1,harvest,mon_L3_00,272.8,127.41,0.00
376.1,harvest,mon_L3_01,281.4,93.26,93.26
378.1,harvest,mon_L3_00,276.6,127.25,0.00
378.1,harvest,mon_L3_01,281.0,93.20,93.20
380.1,harvest,mon_L3_00,279.6,127.39,0.01
380.1,harvest,mon_L3_01,281.0,93.13,93.13
382.1,harvest,mon_L3_00,278.0,126.61,0.01
382.1,harvest,mon_L3_01,280.1,93.70,93.70
384.1,harvest,mon_L3_00,275.4,126.97,0.01
384.1,harvest,mon_L3_01,282.5,93.60,93.60
386.1,harvest,mon_L3_00,272.7,126.78,0.01
386.1,harvest,mon_L3_01,280.0,93.75,93.74
388.1,harvest,mon_L3_00,280.2,126.53,0.00
388.1,harvest,mon_L3_01,278.1,94.48,94.48
390.1,harvest,mon_L3_00,278.8,126.30,0.01
390.1,harvest,mon_L3_01,278.9,94.46,94.46
392.1,harvest,mon_L3_00,276.1,126.54,0.01
392.1,harvest,mon_L3_01,279.6,94.35,94.35
394.1,harvest,mon_L3_00,279.7,126.58,0.00
394.1,harvest,mon_L3_01,277.9,94.13,94.13
396.1,harvest,mon_L3_00,277.5,126.09,0.01
396.1,harvest,mon_L3_01,275.2,94.45,94.45
398.1,harvest,mon_L3_00,271.8,126.41,0.01
398.1,harvest,mon_L3_01,277.3,94.01,94.01
400.1,harvest,mon_L3_00,275.6,126.38,0.01
400.1,harvest,mon_L3_01,280.1,94.09,94.09
402.1,harvest,mon_L3_00,274.7,126.80,0.01
402.1,harvest,mon_L3_01,280.5,93.37,93.37
404.1,harvest,mon_L3_00,278.6,126.31,0.01
404.1,harvest,mon_L3_01,278.9,93.84,93.84
406.1,harvest,mon_L3_00,278.4,126.22,0.01
406.1,harvest,mon_L3_01,278.9,94.46,94.46
408.1,harvest,mon_L3_00,277.7,126.66,0.01
408.1,harvest,mon_L3_01,283.8,94.73,94.73
410.1,harvest,mon_L3_00,276.7,126.49,0.01
410.1,harvest,mon_L3_01,281.4,94.40,94.40
412.1,harvest,mon_L3_00,278.8,126.14,0.00
412.1,harvest,mon_L3_01,277.1,94.20,94.20
414.1,harvest,mon_L3_00,278.8,125.87,0.01
414.1,harvest,mon_L3_01,278.0,94.23,94.23
416.1,harvest,mon_L3_00,280.5,126.29,0.01
