ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
158.0,harvest,mon_L3_00,252.5,12.40,0.63
158.0,harvest,mon_L3_01,258.0,11.03,11.03
160.0,harvest,mon_L3_00,270.6,12.38,0.63
160.0,harvest,mon_L3_01,261.2,11.08,11.08
162.0,harvest,mon_L3_00,266.2,12.34,0.63
162.0,harvest,mon_L3_01,261.1,11.05,11.05
164.0,harvest,mon_L3_00,266.7,12.33,0.62
164.0,harvest,mon_L3_01,255.2,11.04,11.04
166.0,harvest,mon_L3_00,273.0,12.34,0.67
166.0,harvest,mon_L3_01,261.3,11.08,11.08
168.0,harvest,mon_L3_00,275.7,12.35,0.64
168.0,harvest,mon_L3_01,264.0,11.04,11.04
170.0,harvest,mon_L3_00,271.9,12.36,0.64
170.0,harvest,mon_L3_01,254.8,11.03,11.03
172.0,harvest,mon_L3_00,267.4,12.37,0.65
172.0,harvest,mon_L3_01,260.3,11.06,11.06
174.0,harvest,mon_L3_00,271.1,12.37,0.64
174.0,harvest,mon_L3_01,262.4,11.07,11.07
176.0,harvest,mon_L3_00,275.2,12.33,0.66
176.0,harvest,mon_L3_01,263.7,11.08,11.08
178.0,harvest,mon_L3_00,273.0,12.30,0.64
178.0,harvest,mon_L3_01,262.5,11.07,11.07
180.0,harvest,mon_L3_00,267.1,12.36,0.65
180.0,harvest,mon_L3_01,261.7,11.08,11.08
182.0,harvest,mon_L3_00,271.8,12.33,0.66
182.0,harvest,mon_L3_01,261.4,11.08,11.08
184.0,harvest,mon_L3_00,273.2,12.35,0.65
184.0,harvest,mon_L3_01,260.7,11.07,11.07
186.0,harvest,mon_L3_00,271.6,12.32,0.62
186.0,harvest,mon_L3_01,258.6,11.07,11.07
188.0,harvest,mon_L3_00,273.8,12.32,0.68
188.0,harvest,mon_L3_01,253.7,11.08,11.08
190.0,harvest,mon_L3_00,271.2,12.33,0.68
190.0,harvest,mon_L3_01,261.9,11.07,11.07
192.0,harvest,mon_L3_00,273.6,12.36,0.66
192.0,harvest,mon_L3_01,260.5,11.08,11.08
194.0,harvest,mon_L3_00,272.8,12.35,0.66
194.0,harvest,mon_L3_01,265.0,11.03,11.03
196.0,harvest,mon_L3_00,272.9,12.36,0.64
196.0,harvest,mon_L3_01,261.7,11.07,11.07
198.0,harvest,mon_L3_00,254.4,12.36,0.64
198.0,harvest,mon_L3_01,258.9,11.03,11.03
200.0,harvest,mon_L3_00,269.6,12.41,0.62
200.0,harvest,mon_L3_01,264.4,11.06,11.06
